요약,이슈 키,이슈 ID,이슈 유형,상태,프로젝트 키,프로젝트 이름,프로젝트 유형,프로젝트 리더,프로젝트 리더 ID,프로젝트 설명,우선 순위,해결,담당자,담당자 ID,보고자,보고자 ID,작성자,작성자 ID,만듦,업데이트,최근에 봄,해결됨,기한,투표,레이블,설명,환경,지켜보는 사람,관찰자 ID,최초 추정치,남은 추정치,사용한 시간,작업율,초기 추정의 합,Σ 남은 추정치,할애한 시간의 합,보안 등급,사용자정의 필드 (Team),사용자정의 필드 (development),사용자정의 필드 (순위),사용자정의 필드 (시작 날짜),사용자정의 필드 (이슈 색상),사용자정의 필드 (취약성),상위 항목,상위 키,Parent summary,상태 범주,상태 범주 변경됨
로그인과 JWT 세션을 제공한다,WF-174,10466,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;auth;jwt;owner-박상준,사용자 로그인 후 서버가 Access/Refresh JWT를 발급하고 세션을 관리한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0003j:,,,,,,,해야 할 일,14/7월/26 8:30 오후
프로젝트 생성과 멤버 초대를 제공한다,WF-175,10470,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;project;invitation;owner-박상준,팀장은 프로젝트를 생성하고 팀원/심사자 초대 링크를 발급할 수 있다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0003r:,,,,,,,해야 할 일,14/7월/26 8:30 오후
역할별 마이페이지 셸을 제공한다,WF-176,10474,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;mypage;rbac;owner-박상준,팀장/팀원/심사자 개인 화면 레이아웃과 권한별 위젯 노출을 구현한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0003z:,,,,,,,해야 할 일,14/7월/26 8:30 오후
회의록 문서 업로드와 상태 조회를 제공한다,WF-177,10477,스토리,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,15/7월/26 2:02 오후,,,,0,P0;meeting;upload;owner-박지수,회의록 파일을 업로드하고 텍스트 추출/분석 진행 상태를 확인한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i00047:,,,,,,,진행 중,15/7월/26 2:02 오후
LLM 회의 분석 결과를 구조화한다,WF-178,10480,스토리,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,15/7월/26 2:02 오후,,,,0,P0;llm;meeting-analysis;owner-박지수,"회의록 텍스트에서 요약, 결정사항, 위험요소, To-Do 후보를 JSON으로 생성한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0004f:,,,,,,,진행 중,15/7월/26 2:02 오후
To-Do 후보를 검토 후 업무로 승인한다,WF-179,10484,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;todo;task;owner-박지수,"담당자가 명확한 업무는 자동 배정, 미배정 업무는 팀장이 수정 후 보드에 등록한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0004n:,,,,,,,해야 할 일,14/7월/26 8:30 오후
프로젝트 대시보드 기본 집계를 제공한다,WF-180,10487,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,15/7월/26 10:16 오전,,,,0,P0;dashboard;aggregation;owner-허영주,"전체 진행률, D-day, 마감 임박 업무, 최근 활동을 표시한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0004v:,,,,,,,해야 할 일,14/7월/26 8:30 오후
ML 지연 위험도 예측을 제공한다,WF-181,10491,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,15/7월/26 10:17 오전,,,,0,P0;ml;delay-risk;owner-허영주,"업무 상태, 마감일, 진행률 기반으로 정상/주의/위험을 예측한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i00053:,,,,,,,해야 할 일,14/7월/26 8:30 오후
팀원별 업무량을 표시한다,WF-182,10495,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,15/7월/26 10:17 오전,,,,0,P0;dashboard;overload;owner-허영주,"팀원별 업무 수, 완료율, 업무 편중 점수를 차트로 표시한다. 점수 모델은 FS-5 제공.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0005b:,,,,,,,해야 할 일,14/7월/26 8:30 오후
프로젝트 문서를 RAG 인덱싱한다,WF-183,10497,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;rag;embedding;owner-고무서,"회의록, To-Do, 업무 데이터를 chunk로 저장하고 embedding을 생성한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0005j:,,,,,,,해야 할 일,14/7월/26 8:30 오후
